course code,course name,credits
AFRA 206,Survey of African American Culture,3
AFRA 250,Afro Future Females,3
AFRA 295,Black Women and Christianity,3
AFRA 305,Black Media Cultures,3
AFRA 314,International Black Design - 20th Century to Now,3
AFRA 315,Issues in Black Photography,3
AFRA 318,Feminism(s) and Fashion in the African Diaspora,3
AFRA 325,Contemporary Black Art,3
AFRA 327,"Race, Gender, Science",3
AFRA 370,Black Art and Activism in the Digital Age,3
AFRA 372,Philosophy of Hip Hop,3
AFRA 442,The Black Portrait,3
AFRA 447,Curating Hidden Collections & the Black Archive,3
AFRA 455,"Young, Gifted & Black: Understanding Black Youth through Film & Popular Culture",3
ANTH 201,"Visual Anthropology: Film, Media, and Culture",3
ANTH 205,What is Human Nature?,3
ANTH 216,Introduction to Material Culture Studies,3
ANTH 227,USA Today: Contemporary American Culture and Society,3
ANTH 239,Material Culture of Native North America,3
ANTH 251,Anthropology of Art,3
ANTH 338,Indigenous Arts and Media in the Americas,3
ANTH 344,Anthropology of Clothing and Fashion,3
ANTH 381,Cultural Representations of Native Americans,3
ANTH 384,Cinema and Global Cultures,3
ART 129,Design for Non-Majors,3
ART 133,Drawing for Non-Majors,3
ART 180,Digital Photography for Non-Majors,3
ART 200,Introduction to Art and Design for Games,3
ART 204,Media/Design/Culture,3
ART 230,Figure Drawing,3
ART 231,Introduction to Painting,3
ART 233,Drawing as Study,3
ART 243,Introduction to Printmaking,3
ART 246,Screenprinting,3
ART 250,Introduction to Sculpture,3
ART 280,Introduction to Photo and Video,3
ART 281,Darkroom Photography,3
ART 289,Documentary Photography,3
ART 290,Introduction to Ceramics,3
ARTC 110,Digital Heritage,3
ARTH 101,Visual Culture,3
ARTH 150,Monuments and Methods in the History of Art,3
ARTH 151,"Myth, Religion and Art",3
ARTH 153,Introduction to Art History: Pyramids to Cathedrals,3
ARTH 154,Introduction to Art History: Renaissance to Modern,3
ARTH 162,History of Architecture,3
ARTH 198,Studies in World Art and Architecture,3
ARTH 199,Topics in Art History,3
ARTH 203,Art of the Black and African Diaspora,3
ARTH 213,Art of the Northern Renaissance,3
ARTH 219,Art of the Italian Renaissance,3
ARTH 229,Contemporary Art,3
ARTH 237,Art of Tibet,3
ARTH 243,Design and the Decorative Arts,3
ARTH 248,African American Art,3
ARTH 249,Art and Architecture in Context,3
ARTH 251,"Photographies, 1800-2000",3
ARTH 302,Prints and Society,3
ARTH 307,Monet to Picasso: Art in France 1860-1910,3
ARTH 319,Photography in the United States,3
ARTH 321,Great Cities of the World,3
ARTH 323,"World Heritage Sites: Art, Architecture, Material Culture",3
ARTH 325,Sculpture in the United States,3
ARTH 332,Art and Archaeology of Asia,3
ARTH 333,Art of Asia in the Age of Exploration,3
ARTH 403,Seminar in Art of African Diaspora,3
ARTH 444,Seminar in African American Art,3
ARTH 445,Seminar in East Asian Art and Architecture,3
ARTH 456,Seminar in Contemporary Architecture,3
ARSC 297,Passport to the Arts,1-3
ARSC 298,Passport to the Humanities,1-3
ARSC 301,Aesthetics and Education,3
CHIN 204,The Art of Chinese Calligraphy,3
CGSC 327,"Race, Gender, Science",3
CGSC 421,"Philosophy, Biology, Society",3
COMM 256,Philosophy of Communication,3
CISC 355,"Computers, Ethics and Society",3
CRJU 335,Crime and Justice in Film and Literature,3
CRJU 336,The Detective in Film and Fiction,3
DANC 101,Introduction to the Art of Dance,3
DANC 202,Ballet I,3
DANC 203,Modern Dance I,3
DANC 204,Jazz Dance I,3
DANC 205,Hip Hop I,3
DANC 206,Dance in Culture and Society,3
DANC 207,Dance Improvisation,3
DANC 208,Dance Composition I,3
DANC 210,Performance Practicum in Dance,1
DANC 213,Tap Dance I,3
DANC 301,"Dance, Diversity, and Identity",3
DANC 302,Ballet II,3
DANC 303,Modern Dance II,3
DANC 304,Jazz Dance II,3
DANC 305,Hip Hop II,3
DANC 306,Musical Theatre Styles,3
DANC 307,Special Topics in Global Dance Forms,3
DANC 309,Repertory,3
DANC 310,Methods of Teaching Dance,3
DANC 312,Caring for the Moving Body,3
DANC 313,Tap Dance II,3
EDUC 240,Legal and Ethical Issues in American Education,3
EDUC 470,Topics in Education,3
EDUC 485,Multimedia Literacy,3
ENGL 150,Science Fiction and Fantasy,3
ENGL 151,Studies in Popular Fiction,3
ENGL 153,Storytelling and Story Making,3
ENGL 200,"Reading, Creating, and Researching in English",3
ENGL 201,Rewriting Literature,3
ENGL 202,Biblical and Classical Literature,3
ENGL 207,Introduction to Poetry,3
ENGL 208,Introduction to Drama,3
ENGL 209,Introduction to the Novel,3
ENGL 210,Introduction to Short Story,3
ENGL 217,Introduction to Film,3
ENGL 220,Introduction to Writing for Games,3
ENGL 230,Introduction to Environmental Humanities,3
ENGL 280,Approaches to Literature for Non-Majors,3
ENGL 284,Shakespeare for Non-majors,3
ENGL 290,Studies in Literature for Non-majors,3
ENGL 300,Introduction to Literary Criticism and Theory,3
ENGL 318,Studies in Film,3
ENGL 324,Shakespeare,3
ENGL 328,Milton: Sin and Temptation,3
ENGL 338,Studies in Victorian Literature,3
ENGL 347,Studies in American Literature,3
ENGL 348,Contemporary Jewish-American Literature,3
ENGL 350,Studies in Jewish Literature,3
ENGL 356,Studies in Modern/Contemporary Literature,3
ENGL 357,Literature of London,1-3
ENGL 365,"Studies in Literary Genres, Types and Movements",3
ENGL 371,Studies in Fiction,3
ENGL 372,Studies in Drama,3
ENGL 373,Studies in Poetry,3
ENGL 374,Studies in Writing and Rhetoric,3
ENGL 376,World Literature,3
ENGL 380,Women Writers,3
ENGL 384,Queer Studies,3
ENGL 385,Studies in Literary Criticism and Theory,3
ENWC 430,Bridging Art and Science: Environmental Communication,3
ENTR 356,Creativity and Design Thinking,3
FASH 133,Foundations for Fashion Innovation,3
FREN 211,French Reading and Composition,3
GAME 201,Introduction to Game Studies,3
GAME 351,Videogames and Japanese Culture,3
GAME 352,Videogames and Latin American Culture,3
GAME 410,Game Genre Workshop,3
GEOG 203,Introduction to Cultural Geography,3
GEOG 345,Cultural Geography,3
GEOG 346,Urban Cultural Geography,3
GEOG 416,"Climate Fiction, Science, and Communication",3
GRMN 211,German Reading and Writing,3
GREK 301,Ancient Prose: Advanced Intermediate Greek,3
GREK 302,Ancient Poetry: Advanced Intermediate Greek,3
HLTH 215,Healthcare Communication:UDSP,3
HLTH 241,Ethical Aspects of Healthcare,3
HLTH 316,Healthcare Theatre Internship,1-3
HONR 290,Honors Colloquium: Arts and Humanities Topics,3
HONR 295,"Quantitative Colloquium, Creative Arts and Humanities Topics",3
HONR 490,Honors Tutorial: Humanities,3
HONR 495,Honors Seminar,3
ITAL 211,Italian Reading and Composition: Short Fiction,3
ITAL 212,Italian Reading and Composition: Drama and Prose,3
JAPN 204,The Art of Japanese Calligraphy,3
LARC 103,Representation 1: Landscape Drawing,3
LARC 232,History of Landscape Architecture: mid-19th Century to Present,3
LLCU 204,Arabic Calligraphy,3
LLCU 316,"Classical Mythology: Gods, Heroes, and Monsters",3
LLCU 319,Topics: French Literature in Translation,3
LLCU 320,Topics: Reading World Cultures,3
LLCU 321,Topics: Chinese Literature in Translation,3
LLCU 322,Topics: Classical Literature in Translation,3
LLCU 323,Greek Tragedy,3
LLCU 326,Topics: Hispanic Literature in Translation,3-12
LLCU 327,Topics: Russian Literature in Translation,3
LLCU 328,Topics: Japanese Literature in Translation,3-6
LLCU 329,Topics: Italian Literature in Translation,3
LLCU 331,Introduction to Chinese Films,3
LLCU 332,Topics: Arabic Literature in Translation,3
LLCU 335,Love and Darkness: Israel in Jewish and Arab-Israeli Fiction,3
LLCU 337,Brazil Through Film,3
LLCU 338,Light and Shadowâ€“Japanese Films,3
LLCU 380,Topics: Japanese Culture in Translation,3
LLCU 383,Chinese Culture in Translation,3
LLCU 416,Dante: The Divine Comedy and the Medieval World,3
LLCU 420,Topics in Italian Literature,3
LEAD 300,"Leadership, Creativity, and Innovation",3
LATN 301,Advanced Intermediate Latin Prose,3
LATN 302,Advanced Intermediate Latin Poetry,3
MUSC 101,Appreciation of Music,3
MUSC 102,Appreciation of Music II,3
MUSC 105,Fundamentals of Music I,3
MUSC 112,University Strings,0-1
MUSC 119,Collegiate Band,0-1
MUSC 120,Pep Band,0-1
MUSC 121,Beyond Listening,1-3
MUSC 122,History of Film Music,3
MUSC 123,Steel Band,0-1
MUSC 124,Steel Band: Advanced Ensemble,0-1
MUSC 150,Freshman Honors Private Study,1
MUSC 177,Class Guitar I,1
MUSC 181,Private Study for Applied Jazz Styles and Techniques,2
MUSC 182,Private Study for Applied Jazz Styles and Techniques,2
MUSC 204,Global Pop Unbound,3
MUSC 223,Steel Band Traditions and Practice,3
MUSC 224,London and the Movie Soundtrack,3
MUSC 227,Popular Music of the Global South,3
MUSC 228,From Soul to Hip Hop,3
MUSC 241,Collaborative Musicianship,0-1
MUSC 281,Private Study for Applied Jazz Styles and Techniques I,2
MUSC 293,Jazz Theory and Improvisation I,3
MUSC 334,Introduction to Creative Sound Design,3
MUSC 430,Chamber Ensemble,0-1
MUSC 432,Studio Ensemble,0-1
MUSC 433,Still Breathing,1
MUSC 439,Practical Studies in World Percussion,1
MUSC 460,University Singers,0-1
MUSC 461,Schola Cantorum,0-1
MUSC 462,Concert Choir,0-1
MUSC 463,Chorale,0-1
MUSC 465,Gospel Choir,0-1
MUSC 470,Marching Band,1
MUSC 471,Symphonic Band,0-1
MUSC 472,Wind Ensemble,0-1
MUSC 473,Symphony Orchestra,0-1
MUSC 474,Chamber Orchestra,0-1
MUSC 475,Opera Orchestra,0-1
MUSC 476,Collegium Musicum,0-1
MUSC 477,Jazz Ensemble,0-1
MUSC 478,Percussion Ensemble,0-1
MUSC 491,Global Improvisation,2
MUSC 492,Jazz Pedagogy,2
PHIL 100,Philosophies of Life,3
PHIL 102,Introduction to Philosophy,3
PHIL 105,Critical Thinking,3
PHIL 125,Topics: Philosophy in Popular Culture,3
PHIL 200,Business Ethics,3
PHIL 201,Social and Political Philosophy,3
PHIL 202,Contemporary Moral Problems,3
PHIL 203,Ethics,3
PHIL 204,World Religions,3
PHIL 208,Introduction to Jewish Philosophy,3
PHIL 209,Philosophy of Religion,3
PHIL 212,"Markets, Ethics, and Law",3
PHIL 241,Ethical Issues in Healthcare,3
PHIL 244,Philosophy of Art,3
PHIL 302,Introduction to Jewish Mysticism,3
PHIL 306,Philosophy of Science,3
PHIL 307,Black Thought and Philosophy,3
PHIL 308,Topics in Jewish Theology,3
PHIL 313,Killing and Letting Die,3
PHIL 315,Metaphysics,3
PHIL 316,Time Travel,3
PHIL 320,Theory of Knowledge,3
PHIL 322,Existentialism,3
PHIL 327,"Race, Gender, Science",3
PHIL 335,Buddhist Philosophy,3
PHIL 337,Daoist Thought,3
PHIL 338,Religion at the Crossroads of Culture,3
PHIL 344,Science and Religion,3
PHIL 346,Philosophy of Law,3
PHIL 448,Environmental Ethics,3
POSC 285,Introduction to Political Theory,3
POSC 333,Contemporary Political Ideologies,3
POSC 435,Modern Political Thought,3
POSC 436,African Politics and Literature,3
PSYC 447,Psychology of the Arts,3
RUSS 211,Russian Reading and Composition: Short Fiction,3
SPAN 201,Spanish Reading and Composition,3
THEA 102,Introduction to Performance,3
THEA 104,Introduction to Theater and Drama,3
THEA 106,The Theatrical Experience Abroad,3
THEA 126,Performance for Life,3
THEA 200,Introduction to Theatre Production,3
THEA 202,Introduction to Theatre Design,3
THEA 203,Introduction to Costuming,3
THEA 204,Introduction to Voice and Speech,3
THEA 205,Introduction to Stage Movement,3
THEA 212,Jews and American Pop Culture,3
THEA 226,Fundamentals of Acting I,3
THEA 230,Voice and Speech for the Theatre,3
THEA 327,Fundamentals of Acting II,3
THEA 240,Black History Live on Stage,3
THEA 242,Page to Stage: Making Theater,3
THEA 300,Scenic Construction,3
THEA 301,Fundamentals of Properties Construction,3
THEA 302,Fundamentals of Stage Lighting,3
THEA 304,Fundamentals of Audio for the Theatre,3
THEA 305,Fundamentals of Costume Construction for the Stage,3
THEA 308,Fundamentals of Costume Crafts,3
THEA 309,Fundamentals of Stage Management,3
THEA 311,Fundamentals of Scene Design,3
THEA 314,Advanced Healthcare Theatre Communication,3
THEA 321,Writing for Performance,3
THEA 322,Directing for Performance,3
THEA 330,Voice and Speech for the Theatre II,3
THEA 335,Movement II,3
THEA 340,African American Theater,3
THEA 360,Fundamentals of Oral Interpretation,3
THEA 361,Acting Tech for Business Professionals,3
THEA 409,Stage Management II,3
WOMS 205,Women in the Arts and Humanities,3
WOMS 216,Introduction to Feminist Theory,3
WOMS 327,"Race, Gender, Science",3
WOMS 332,"Gender, Race, and Ethnicity",3
WOMS 336,Feminist Cultural Studies,3
